Timestamp,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE
6/5/2017,5,2,10,10,10,7,10,5,5,8,10,10,10,7,0,2,9,10,10,10,51 or more,Female,142
6/11/2018,5,3,10,10,10,10,10,3,7,10,10,10,10,8,0,3,5,10,10,10,36 to 50,Female,142
7/5/2018,5,1,10,10,10,10,10,5,5,10,10,10,5,8,0,2,7,10,10,10,36 to 50,Male,142
1/15/2019 5:15,5,2,10,10,10,10,10,4,10,10,6,8,10,10,0,3,7,10,7,10,Less than 20,Male,142
5/1/2020 6:25,5,0,10,10,10,10,10,5,5,10,10,10,10,10,0,10,7,10,10,10,36 to 50,Male,142
9/14/2015,5,2,10,10,10,10,10,5,9,10,8,10,6,8,0,0,9,7,10,6,21 to 35,Male,141
3/22/2016,5,0,10,10,7,10,10,0,6,10,10,10,10,9,5,0,9,10,10,10,Less than 20,Male,141
3/16/2017,5,1,10,10,10,10,10,5,9,9,9,10,5,8,3,0,8,10,7,10,51 or more,Female,141
8/23/2017,4,1,10,10,10,10,10,5,8,8,10,7,10,5,0,0,5,10,10,10,51 or more,Male,141
9/12/2018,5,1,10,5,10,10,10,5,6,8,10,10,10,8,0,2,7,10,10,10,21 to 35,Male,141
6/3/2016,3,3,10,10,10,10,10,5,5,8,7,10,10,7,0,0,10,10,8,10,36 to 50,Female,140
8/9/2018,5,1,10,10,10,10,10,5,6,10,5,10,10,8,0,0,9,10,3,10,21 to 35,Male,140
9/8/2018,5,0,8,8,10,5,8,5,10,6,8,8,10,9,0,0,10,10,10,10,21 to 35,Male,140
9/6/2020 7:33,3,1,4,10,8,7,10,5,9,10,9,10,10,7,0,0,9,10,10,10,21 to 35,Male,140
9/18/2020 23:46,2,1,10,10,10,10,10,2,6,10,10,10,10,7,0,1,5,10,10,10,36 to 50,Male,140
12/12/2020 19:14,4,1,10,10,10,10,7,5,8,10,10,10,10,7,0,1,7,10,6,8,51 or more,Male,140
8/6/2015,5,2,9,10,10,10,10,5,9,10,10,8,10,5,5,1,6,10,10,10,51 or more,Female,139
11/28/2016,2,4,10,10,10,10,10,5,9,7,8,8,10,7,0,1,10,10,10,8,21 to 35,Male,139
1/5/2017,5,2,10,10,10,10,10,5,9,9,7,10,5,7,0,2,10,10,8,8,21 to 35,Female,139
7/17/2017,3,2,10,10,10,10,10,5,6,10,10,4,10,8,0,1,6,10,10,10,51 or more,Female,139
2/11/2019 17:32,5,2,10,6,10,10,10,5,9,10,4,10,10,8,0,0,6,10,8,10,51 or more,Male,139
7/8/2019 13:46,2,0,10,10,6,10,10,3,7,10,10,10,10,8,0,1,9,10,5,10,21 to 35,Male,139
10/21/2019 18:50,5,2,10,10,10,10,10,5,5,9,10,10,10,8,10,0,9,10,10,10,21 to 35,Male,139
1/22/2020 13:50,5,0,10,10,10,10,10,3,9,10,8,10,10,6,10,0,10,10,8,10,21 to 35,Male,139
4/15/2020 16:14,5,3,10,10,10,10,10,5,5,7,10,10,5,7,0,1,9,10,10,10,36 to 50,Male,139
10/2/2020 7:30,4,5,10,5,10,10,10,5,9,10,10,10,10,7,0,1,10,5,10,10,51 or more,Female,139
11/12/2015,5,2,10,10,10,10,10,5,9,6,6,10,10,8,0,5,6,10,10,10,21 to 35,Female,138
11/28/2016,2,4,10,10,10,10,10,5,8,7,8,8,10,7,0,1,10,10,10,8,21 to 35,Male,138
1/21/2017,5,2,10,10,10,10,9,5,5,6,8,8,10,6,0,2,10,10,10,10,21 to 35,Male,138
2/28/2017,5,0,10,10,10,10,10,5,7,8,6,2,10,8,0,1,8,10,10,10,51 or more,Female,138
9/21/2017,4,1,7,10,10,9,8,5,9,9,8,9,10,5,0,2,8,10,10,10,36 to 50,Female,138
4/28/2018,5,2,10,10,10,10,10,5,6,10,10,9,0,8,0,1,8,10,10,10,36 to 50,Male,138
6/13/2018,4,3,10,10,10,10,10,5,5,10,10,9,10,8,0,1,5,8,10,8,36 to 50,Female,138
8/26/2018,4,2,10,10,10,10,10,5,10,10,4,9,8,7,2,0,8,10,10,7,51 or more,Male,138
9/28/2018,5,0,10,10,10,6,10,2,7,10,8,8,10,8,0,1,8,10,7,10,36 to 50,Female,138
3/25/2020 14:50,5,3,10,10,10,8,5,5,6,8,10,10,10,8,0,0,6,10,10,10,21 to 35,Male,138
6/3/2020 8:11,5,1,10,6,10,10,8,5,9,9,6,10,10,8,2,0,7,10,10,8,36 to 50,Female,138
12/14/2016,3,0,9,10,10,7,10,5,9,10,10,1,10,7,0,2,8,10,10,10,51 or more,Female,137
1/21/2017,5,2,10,10,10,10,9,5,9,6,8,8,10,6,0,2,5,10,10,10,21 to 35,Male,137
2/8/2017,3,1,7,8,10,10,10,5,5,8,10,5,10,9,0,0,8,10,10,10,21 to 35,Male,137
6/3/2018,2,5,10,10,10,10,10,5,7,8,10,10,10,6,0,0,10,10,10,4,36 to 50,Male,137
7/26/2019 4:25,5,0,10,10,10,10,10,5,10,10,10,10,10,10,10,10,7,10,10,10,21 to 35,Female,137
8/14/2019 12:33,3,1,5,10,10,5,10,5,10,10,8,10,10,6,0,1,7,10,10,10,51 or more,Female,137
9/3/2020 22:56,5,0,10,10,10,10,10,5,6,10,7,3,10,8,0,0,5,8,10,10,51 or more,Female,137
10/5/2015,5,2,10,10,10,10,10,3,6,8,8,10,10,8,0,1,6,10,5,10,Less than 20,Male,136
11/10/2015,5,3,10,8,10,10,10,5,9,8,6,10,7,7,0,1,10,10,5,10,36 to 50,Female,136
6/5/2017,5,2,10,10,10,6,9,5,8,8,8,10,10,7,0,2,9,9,6,10,51 or more,Female,136
7/23/2018,4,0,10,8,10,10,10,5,6,5,6,10,10,7,0,1,9,10,7,10,51 or more,Male,136
9/1/2018,3,1,10,10,10,10,10,5,8,7,10,10,10,7,5,0,7,6,9,10,21 to 35,Male,136
2/26/2019 22:50,3,2,7,10,10,10,10,5,7,10,10,10,2,5,0,1,10,10,10,10,36 to 50,Female,136
2/19/2020 15:02,5,2,10,10,10,10,10,5,7,7,6,8,10,6,0,2,6,10,10,10,21 to 35,Female,136
5/12/2020 8:13,4,0,10,5,9,10,10,5,6,10,8,6,10,8,0,1,8,10,10,8,21 to 35,Male,136
11/15/2015,5,3,10,10,10,10,10,5,9,10,9,5,10,10,10,1,6,10,10,10,36 to 50,Male,135
12/2/2015,3,0,10,10,10,10,4,5,9,9,9,10,5,9,0,2,9,10,8,7,36 to 50,Female,135
11/11/2016,5,1,10,10,10,10,8,5,9,9,0,7,10,9,0,1,5,10,10,10,36 to 50,Female,135
10/26/2017,5,0,10,5,5,10,10,5,8,10,7,10,10,7,0,0,8,10,5,10,36 to 50,Male,135
5/30/2018,5,0,10,10,10,10,10,5,8,10,10,10,10,10,10,10,7,10,10,10,51 or more,Female,135
6/27/2018,5,0,8,10,10,10,10,5,5,10,10,10,6,7,5,0,5,9,10,10,Less than 20,Female,135
8/14/2019 6:58,3,1,5,10,10,5,10,5,7,10,10,10,10,6,0,1,6,10,10,10,51 or more,Female,135
5/15/2020 15:02,5,1,10,10,10,10,10,5,7,10,10,10,10,10,10,10,9,10,10,10,21 to 35,Male,135
9/10/2020 0:14,3,1,10,10,10,5,10,1,10,10,8,7,10,8,0,0,6,10,8,10,36 to 50,Female,135
8/19/2015,5,1,5,10,10,5,10,5,6,10,8,10,10,8,0,0,10,5,8,10,51 or more,Female,134
10/26/2015,5,0,10,10,7,10,9,5,9,9,10,10,9,9,3,9,6,10,9,9,36 to 50,Male,134
4/19/2016,3,0,10,8,6,10,7,4,5,10,8,8,10,9,0,0,8,10,8,10,Less than 20,Male,134
6/15/2016,5,0,10,10,10,10,2,5,7,7,10,10,10,9,0,0,7,8,4,10,51 or more,Female,134
6/15/2016,4,4,8,10,10,10,10,5,9,9,7,10,10,7,0,2,8,10,5,8,36 to 50,Female,134
11/6/2016,3,3,10,10,8,5,9,5,7,9,9,10,10,7,0,0,9,8,8,10,51 or more,Female,134
4/7/2017,5,1,7,10,10,6,8,1,9,10,10,10,4,8,0,1,8,10,10,10,36 to 50,Female,134
6/9/2017,5,0,5,10,10,10,5,5,8,8,10,10,5,8,0,0,6,10,9,10,51 or more,Female,134
6/13/2018,4,4,10,10,10,9,10,5,9,8,7,8,10,8,0,0,10,10,6,4,51 or more,Female,134
8/6/2018,2,2,5,10,10,10,10,5,10,10,6,10,10,8,0,2,5,10,10,7,51 or more,Male,134
8/27/2018,5,2,10,7,10,10,6,5,10,8,6,8,10,7,0,0,10,8,6,10,51 or more,Female,134
2/11/2019 8:55,5,3,10,6,10,10,10,5,5,10,10,7,10,8,0,5,6,10,10,10,51 or more,Female,134
4/28/2019 18:15,5,0,5,10,10,10,10,5,6,6,6,9,10,7,0,0,5,10,10,10,51 or more,Female,134
10/17/2019 11:04,5,2,3,10,8,10,5,5,10,9,8,10,10,6,1,2,10,10,10,10,51 or more,Male,134
10/22/2019 15:54,5,2,10,10,10,5,10,5,10,10,5,7,10,6,0,0,8,10,5,10,51 or more,Female,134
2/18/2020 3:00,5,1,10,10,10,10,8,5,9,10,10,10,5,7,0,2,7,10,1,10,36 to 50,Female,134
9/10/2020 11:01,5,5,10,10,10,10,10,5,10,10,10,10,10,10,10,10,9,10,10,10,36 to 50,Male,134
9/26/2020 10:56,5,1,6,10,8,10,5,5,9,10,8,10,7,8,0,2,8,8,10,10,51 or more,Female,134
10/20/2020 15:05,5,5,10,10,10,10,10,5,9,10,10,10,10,10,10,10,10,10,10,10,21 to 35,Male,134
8/19/2015,5,0,10,10,10,10,5,5,5,10,6,10,10,4,0,0,10,10,3,10,51 or more,Female,133
11/17/2015,5,1,10,8,10,10,10,2,10,7,6,8,10,7,0,1,9,7,6,10,21 to 35,Male,133
3/22/2016,5,5,10,10,10,10,10,5,8,10,0,10,10,10,10,0,10,10,10,10,Less than 20,Male,133
4/5/2016,5,3,10,10,10,8,10,5,8,9,4,6,5,8,0,0,10,10,8,10,21 to 35,Female,133
5/22/2016,5,1,10,10,10,10,6,2,5,10,10,10,10,8,5,3,6,10,10,10,36 to 50,Female,133
6/2/2018,5,3,2,10,10,7,10,5,8,8,10,8,10,9,0,5,9,10,10,10,51 or more,Female,133
4/10/2019 11:33,5,0,0,10,10,10,6,0,7,10,10,10,10,10,0,4,10,10,9,10,Less than 20,Male,133
9/16/2019 8:16,5,0,7,10,10,8,8,5,7,8,8,10,9,8,0,0,5,8,7,10,21 to 35,Female,133
5/15/2020 15:42,3,3,5,10,10,10,10,5,8,8,9,10,8,7,3,3,9,10,10,10,21 to 35,Male,133
2/28/2021 11:23,3,1,10,10,10,10,10,5,7,9,8,8,5,6,2,1,10,10,8,8,51 or more,Female,133
3/13/2021 4:43,5,2,10,8,10,10,10,5,5,10,8,8,10,8,2,2,6,10,8,8,36 to 50,Male,133
10/9/2015,5,2,10,10,10,10,10,5,5,7,3,9,10,6,0,1,10,10,8,7,36 to 50,Female,132
10/16/2015,5,5,10,10,10,10,10,5,7,10,10,10,10,10,10,10,10,10,10,10,36 to 50,Male,132
4/29/2016,3,2,10,10,10,10,10,5,10,8,10,8,10,7,0,7,5,10,8,7,21 to 35,Female,132
4/21/2017,4,2,7,10,8,8,5,5,10,8,10,8,10,6,0,1,9,10,7,10,36 to 50,Male,132
4/21/2017,4,2,7,10,8,8,5,5,9,8,10,8,10,6,0,1,10,10,7,10,36 to 50,Male,132
5/4/2017,4,0,7,5,10,10,10,5,9,10,10,6,7,7,1,1,5,10,9,10,Less than 20,Female,132
7/14/2017,4,1,10,7,10,5,10,5,9,8,8,3,10,7,0,0,10,10,7,10,51 or more,Female,132
9/12/2018,5,2,10,8,8,10,9,4,10,10,9,10,8,6,0,2,7,6,6,10,36 to 50,Male,132
7/24/2019 3:59,5,1,10,8,8,10,6,5,7,7,4,10,10,8,0,1,9,10,10,7,36 to 50,Female,132
7/30/2019 15:33,5,1,10,10,10,10,10,5,8,9,2,7,10,8,1,1,7,10,5,9,36 to 50,Male,132
9/17/2020 14:57,4,2,7,10,10,10,10,4,9,10,8,7,5,8,0,2,10,10,8,6,51 or more,Male,132
9/18/2020 2:04,5,1,8,6,10,6,10,1,5,10,9,9,10,6,1,1,10,10,10,10,51 or more,Female,132
9/24/2020 10:31,5,1,6,8,10,10,7,5,8,10,7,10,9,8,0,1,6,10,10,5,51 or more,Female,132
11/8/2020 8:48,3,2,2,10,10,10,5,5,9,8,10,6,10,7,0,1,10,10,10,10,36 to 50,Male,132
11/24/2020 8:03,4,1,10,10,7,10,10,4,9,10,6,10,10,8,2,7,8,10,6,10,36 to 50,Female,132
10/10/2015,5,3,10,8,10,10,9,5,10,10,2,9,7,8,0,2,8,10,5,10,Less than 20,Female,131
10/19/2015,5,4,10,10,10,6,2,2,10,10,6,10,10,8,0,2,10,10,8,10,36 to 50,Female,131
11/12/2015,5,1,10,10,10,10,3,5,10,5,3,10,10,6,0,1,6,10,10,10,51 or more,Male,131
9/11/2016,5,3,10,5,10,10,8,5,10,7,8,10,8,7,0,3,8,10,10,6,21 to 35,Male,131
11/14/2016,5,1,10,6,10,8,8,5,5,10,9,1,10,7,0,0,10,10,10,8,51 or more,Female,131
1/5/2017,5,2,10,10,10,10,10,5,5,9,7,10,5,7,0,2,6,10,8,8,21 to 35,Male,131
11/7/2017,3,1,9,10,9,10,8,5,10,10,8,9,5,8,0,2,7,7,6,10,21 to 35,Female,131
2/1/2018,2,2,10,10,10,10,10,5,7,6,10,4,10,6,0,0,10,5,8,10,21 to 35,Male,131
2/21/2018,2,2,10,10,10,3,10,5,5,8,8,10,10,8,0,2,8,10,8,10,36 to 50,Female,131
8/6/2018,2,3,5,10,10,10,10,5,5,10,6,10,10,8,0,1,8,10,10,6,51 or more,Male,131
8/14/2018,4,3,9,10,6,10,10,5,9,7,7,10,10,8,0,2,7,10,6,8,21 to 35,Male,131
8/22/2018,4,1,10,8,10,10,10,5,9,10,2,10,8,7,0,1,9,9,2,10,51 or more,Male,131
8/22/2018,5,2,8,8,8,10,10,5,8,10,6,10,10,8,0,2,5,8,6,10,51 or more,Female,131
12/23/2018 2:39,5,0,8,7,10,10,8,3,10,9,8,10,6,6,0,1,6,10,8,8,36 to 50,Male,131
7/19/2019 11:37,5,4,6,7,10,10,10,5,6,8,5,9,10,7,0,1,10,10,8,10,51 or more,Male,131
10/14/2019 3:40,5,3,10,7,10,10,9,3,10,8,8,6,10,6,5,2,9,10,10,10,51 or more,Female,131
8/10/2015,4,3,10,10,10,10,10,5,8,10,4,7,10,7,0,3,10,10,1,10,51 or more,Female,130
8/27/2015,1,1,5,10,6,10,10,5,5,6,10,10,10,8,2,3,10,10,10,10,Less than 20,Male,130
10/16/2015,5,5,10,10,10,10,10,5,8,10,10,10,10,10,10,10,7,10,10,10,36 to 50,Male,130
11/2/2015,5,1,10,8,10,10,10,5,8,8,4,10,4,8,1,2,9,10,5,10,36 to 50,Female,130
7/19/2016,5,3,1,9,10,10,10,5,10,5,10,10,5,8,0,0,10,10,10,5,36 to 50,Male,130
3/6/2017,3,4,10,10,10,10,10,5,10,10,10,8,1,8,0,0,5,10,4,10,21 to 35,Male,130
5/16/2018,2,0,7,9,10,10,10,2,6,10,7,1,10,8,0,0,10,10,8,10,51 or more,Female,130
9/23/2018,5,0,6,5,10,2,10,5,10,8,8,5,10,9,0,0,7,10,10,10,21 to 35,Male,130
4/29/2019 19:24,5,1,10,10,10,7,10,5,5,9,9,8,10,8,0,3,9,5,5,9,36 to 50,Female,130
5/23/2019 19:12,4,1,10,10,10,5,7,3,9,7,8,4,8,7,0,0,9,10,10,10,21 to 35,Male,130
9/14/2019 0:37,5,0,7,5,10,10,10,5,7,9,8,10,5,7,0,0,5,10,7,10,21 to 35,Female,130
9/18/2019 12:02,5,1,10,10,10,10,9,5,10,9,10,5,10,8,10,1,6,5,10,10,36 to 50,Female,130
1/12/2020 17:44,4,2,3,10,10,10,10,3,8,9,7,10,6,9,0,1,8,10,9,7,36 to 50,Female,130
2/19/2020 19:16,5,2,10,9,10,10,8,4,6,6,9,9,7,6,1,2,10,10,8,8,21 to 35,Female,130
10/11/2020 10:13,5,5,10,5,10,10,10,5,9,7,7,10,10,6,0,6,7,10,10,10,51 or more,Female,130
12/16/2020 14:08,5,1,10,10,10,10,5,2,8,10,5,6,10,8,0,0,7,5,10,10,36 to 50,Male,130
10/13/2015,4,0,6,10,8,10,10,5,10,10,10,10,9,8,7,8,7,8,9,10,36 to 50,Male,129
10/30/2015,1,2,10,10,10,10,9,0,5,9,10,10,8,7,0,0,9,3,10,10,51 or more,Female,129
1/2/2016,2,3,10,9,10,10,8,5,9,8,4,10,10,6,1,2,9,9,9,7,51 or more,Male,129
1/17/2016,5,3,10,10,10,10,7,5,7,6,3,8,5,8,0,1,10,10,9,10,36 to 50,Male,129
3/3/2016,5,3,10,10,10,10,5,5,9,8,5,10,10,7,10,0,10,10,8,10,36 to 50,Female,129
3/8/2016,5,4,5,10,10,10,10,5,10,8,8,10,10,5,0,4,10,10,10,1,36 to 50,Female,129
7/5/2016,5,1,10,10,10,10,9,5,6,10,10,10,10,8,10,1,6,10,2,10,51 or more,Female,129
8/5/2016,5,0,10,9,10,10,7,5,10,8,4,5,4,8,0,2,8,10,8,10,21 to 35,Female,129
9/23/2016,3,4,10,10,7,10,7,5,9,9,7,9,9,7,0,5,10,7,10,9,51 or more,Male,129
11/8/2016,5,0,10,8,3,10,10,5,10,10,4,9,10,8,2,0,8,10,1,10,21 to 35,Female,129
1/24/2017,5,2,10,10,10,10,10,3,6,8,6,10,10,7,0,1,5,7,7,8,36 to 50,Female,129
6/27/2017,5,1,9,8,10,10,4,5,6,8,7,5,10,8,0,1,8,10,8,10,51 or more,Male,129
12/9/2017,2,4,10,10,10,10,4,3,9,8,5,10,10,8,0,1,7,10,8,10,21 to 35,Male,129
7/3/2018,3,1,10,5,10,10,10,3,5,10,10,10,1,7,0,0,6,10,10,10,51 or more,Female,129
5/20/2019 14:44,2,2,10,10,10,10,8,5,5,10,8,5,5,6,0,2,9,10,10,10,21 to 35,Female,129
5/26/2019 21:06,4,5,8,10,10,10,6,5,10,9,7,10,10,6,5,1,10,10,10,5,21 to 35,Female,129
1/14/2020 13:35,4,3,8,7,10,10,10,5,8,8,3,5,10,7,0,0,9,10,8,10,51 or more,Male,129
4/3/2020 0:28,5,1,7,10,10,5,10,5,8,10,10,3,10,8,0,0,6,6,7,10,51 or more,Male,129
5/10/2020 16:53,5,2,10,10,10,10,10,5,9,3,5,7,7,8,0,2,6,10,8,10,36 to 50,Female,129
9/23/2020 14:55,5,3,10,10,10,5,10,5,9,9,2,10,5,7,0,1,10,10,8,8,51 or more,Female,129
3/8/2021 14:21,5,2,10,10,10,10,3,2,9,8,9,10,3,7,0,3,10,10,8,10,51 or more,Female,129
8/3/2015,5,0,10,10,10,10,6,5,10,10,6,8,2,8,0,1,6,10,3,10,51 or more,Female,128
10/8/2015,4,3,10,10,10,10,10,5,6,9,3,2,10,8,0,6,10,10,10,10,36 to 50,Female,128
11/15/2015,5,1,6,10,10,8,9,5,10,8,7,10,9,9,2,1,5,9,3,9,51 or more,Female,128
11/16/2015,5,1,10,10,10,10,10,5,6,8,3,10,3,9,0,1,8,8,5,10,21 to 35,Female,128
12/6/2015,5,0,10,5,10,10,3,5,10,10,7,9,5,7,0,0,9,10,3,10,36 to 50,Female,128
4/6/2016,2,1,10,5,8,10,10,2,8,9,8,10,5,8,0,1,9,10,6,10,36 to 50,Male,128
9/5/2016,5,0,2,10,10,8,10,3,8,9,10,7,5,7,0,0,9,10,5,10,51 or more,Male,128
10/20/2016,5,1,10,10,10,10,7,5,8,6,6,5,10,6,0,1,6,10,6,10,36 to 50,Male,128
11/16/2016,5,2,10,10,10,10,10,5,9,5,6,10,10,7,0,4,9,6,6,6,36 to 50,Female,128
2/13/2017,4,4,10,10,10,10,10,5,9,8,8,10,5,7,0,10,6,10,10,10,21 to 35,Female,128
2/23/2017,5,0,8,10,10,10,3,0,8,9,10,10,10,7,0,2,10,9,1,10,21 to 35,Male,128
3/26/2017,5,4,10,5,10,10,5,5,8,5,10,7,10,6,0,1,10,8,9,10,21 to 35,Female,128
4/4/2017,2,1,5,10,10,10,10,5,9,8,10,5,5,6,0,1,5,10,10,10,Less than 20,Female,128
7/10/2017,4,2,10,5,10,10,10,5,10,10,7,8,10,4,0,1,6,10,5,7,51 or more,Male,128
7/21/2017,5,1,6,7,10,10,10,5,6,8,8,5,10,8,3,0,9,10,5,10,36 to 50,Male,128
9/12/2017,5,1,10,10,10,10,10,5,6,8,4,8,10,7,0,1,5,10,4,8,36 to 50,Male,128
10/5/2017,5,3,10,4,10,10,10,5,5,9,4,10,10,7,0,7,10,10,10,9,36 to 50,Female,128
10/24/2017,2,2,10,10,10,10,7,5,6,9,3,5,10,7,0,0,10,10,6,10,21 to 35,Female,128
11/7/2017,5,2,10,10,10,10,7,5,9,7,5,8,5,7,0,0,8,10,4,10,51 or more,Female,128
5/4/2018,3,2,10,6,10,10,10,5,9,8,5,8,6,7,0,1,10,10,4,10,51 or more,Male,128
5/31/2018,5,1,10,6,10,10,10,5,6,9,4,10,10,8,5,0,10,10,6,5,51 or more,Female,128
8/12/2018,5,2,10,10,9,4,10,5,8,10,3,10,9,8,0,2,8,10,4,9,51 or more,Female,128
9/3/2018,5,1,10,5,10,8,10,4,7,10,10,4,10,8,8,1,8,10,9,10,51 or more,Female,128
2/22/2019 10:15,5,1,10,8,10,6,10,5,9,6,5,10,10,8,10,1,10,10,8,10,21 to 35,Male,128
7/8/2019 9:27,2,0,10,8,10,8,8,1,10,9,5,7,10,7,3,2,10,10,8,10,21 to 35,Male,128
1/23/2020 11:41,5,1,10,10,10,6,9,5,7,10,4,7,10,7,0,3,6,10,6,10,21 to 35,Female,128
4/30/2020 22:44,3,1,10,10,10,10,4,3,7,8,4,10,5,8,0,1,8,10,10,10,21 to 35,Female,128
7/18/2020 16:12,5,1,8,10,10,5,3,4,10,9,7,10,10,8,0,1,9,6,6,10,51 or more,Female,128
8/8/2020 2:33,2,2,10,10,10,10,10,4,6,10,10,2,10,7,2,4,10,8,9,8,36 to 50,Male,128
8/19/2020 5:21,3,2,10,10,10,7,10,5,10,9,2,6,10,7,0,2,10,10,3,10,36 to 50,Female,128
8/6/2015,5,2,10,10,10,10,10,5,5,7,10,5,5,7,8,1,9,10,10,10,36 to 50,Female,127
9/29/2015,5,2,10,10,10,10,5,5,5,10,5,10,10,7,0,6,9,10,4,10,51 or more,Female,127
9/30/2015,5,1,10,8,10,6,10,4,5,9,8,8,5,7,2,1,8,10,8,10,21 to 35,Male,127
2/2/2016,2,3,10,10,10,10,8,5,5,8,10,5,10,8,0,1,10,10,5,5,36 to 50,Male,127
4/25/2016,3,1,8,10,9,10,7,4,7,8,7,10,9,7,2,0,9,7,10,5,Less than 20,Female,127
4/28/2016,5,1,3,10,10,10,8,5,10,7,2,6,10,7,0,2,9,10,10,8,36 to 50,Female,127
5/28/2016,5,0,5,4,10,10,10,5,6,10,5,7,9,1,0,0,10,10,10,10,51 or more,Female,127
10/11/2016,4,3,10,10,10,10,7,4,10,9,7,8,4,7,0,0,7,8,7,8,21 to 35,Female,127
10/13/2016,4,4,10,10,10,10,5,5,5,8,8,7,10,9,0,10,10,10,10,10,51 or more,Female,127
2/1/2017,3,1,8,6,10,10,3,5,8,8,10,8,10,8,0,0,8,10,3,10,51 or more,Male,127
2/15/2017,5,1,10,10,10,10,10,2,9,8,5,5,10,6,0,2,5,10,5,10,51 or more,Female,127
5/3/2017,4,2,10,2,10,10,8,5,6,6,6,10,10,7,0,2,10,8,10,9,36 to 50,Female,127
5/3/2017,4,2,10,2,10,10,8,5,6,6,6,10,10,7,0,2,10,8,10,9,36 to 50,Female,127
5/12/2017,4,2,10,10,10,10,9,5,9,8,4,9,1,8,0,2,9,10,5,10,36 to 50,Male,127
5/29/2017,5,5,10,10,10,4,8,5,9,5,6,10,5,8,0,0,9,10,8,10,51 or more,Male,127
9/29/2017,1,1,10,5,10,10,10,5,10,7,5,6,10,7,0,2,8,10,10,6,51 or more,Male,127
12/5/2017,5,0,10,10,10,2,3,5,7,6,10,5,10,8,0,1,7,10,10,10,36 to 50,Female,127
7/23/2018,4,2,10,4,10,10,10,5,7,10,10,10,2,8,0,0,5,10,10,4,36 to 50,Female,127
10/7/2018,3,2,10,10,10,10,10,5,8,5,5,5,10,7,0,1,7,7,8,10,51 or more,Female,127
